filem_name,tomatometerscore,audiencescore,reviews_numb,ratings_numb,rating,genre,language,director,producer,writer,release_date_theaters,release_date_streaming,box_office,runtime,distributor,aspect_ratio,actors
Capone,40,24,138,500+,R (Strong/Bloody Violence|Some Sexuality|Pervasive Language),"Biography, Crime, Drama",English,Josh Trank,"Russell Ackerman, Lawrence Bender, Aaron L. Gilbert, John Schoenfelder",Josh Trank,,"May 12, 2020",,1h 43m,,,"Tom Hardy,Linda Cardellini,Noel Fisher,Jack Lowden,Matt Dillon,Kyle MacLachlan,Kathrine Narducci,Mason Guccione,Josh Trank,Josh Trank,"
The Wrong Missy,33,50,58,"1,000+",,Comedy,English,Tyler Spindel,"Allen Covert, Kevin Grady, Adam Sandler",Chris Pappas,,"May 19, 2020",,1h 29m,,,"David Spade,Lauren Lapkus,Nick Swardson,John Farley,Chris Witaske,Candace Smith,Tyler Spindel,Chris Pappas,Barry Bernardi,Allen Covert,"
Scoob!,,,,,,,,,,,,,,,,,
Blood and Money,39,35,23,50+,,"Action, Mystery & Thriller",English,John Barr,Suza Horvat,"John Barr, Alan Petherick, Michael McGrale","May 15, 2020  Limited","May 19, 2020",,1h 29m,Screen Media Films,,"Tom Berenger,Paul Ben-Victor,Kristen Hager,Erica McDermott,Gary Tanguay,Bates Wilder,Mark Sivertsen,Melissa McMeekin,Caroline Portu,Brian Duffy,"
Body Cam,44,37,27,100+,R (Language Throughout|Grisly Images|Bloody Violence),"Mystery & Thriller, Horror",English,Malik Vitthal,Matthew Kaplan,"Richmond Riedel, Nicholas McCarthy",,"May 19, 2020",,1h 37m,,,"Mary J. Blige,Nat Wolff,David Zayas,Anika Noni Rose,Demetrius Grosse,Sue-Lynn Ansari,Ian Casselberry,Sylvia Grace Crim,Renell Gibbs,Malik Vitthal,"
filem_name,tomatometerscore,audiencescore,reviews_numb,ratings_numb,rating,genre,language,director,producer,writer,release_date_theaters,release_date_streaming,box_office,runtime,distributor,aspect_ratio,actors
Insidious: The Last Key,33,50,112,"5,000+",PG-13 (Disturbing Thematic Content|Brief Strong Language|Violence and Terror),"Mystery & Thriller, Horror",English,Adam Robitel,"Jason Blum, Oren Peli, James Wan",Leigh Whannell,"Jan 5, 2018  Wide","Apr 3, 2018",$67.3M,1h 43m,Universal Pictures,,"Lin Shaye,Leigh Whannell,Angus Sampson,Kirk Acevedo,Caitlin Gerard,Spencer Locke,Josh Stewart,Tessa Ferrer,Aleque Reid,Ava Kolker,"
The Strange Ones,55,43,29,250+,R (Brief Sexual Material|Some Disturbing Violent Images),"Mystery & Thriller, Drama",English,"Lauren Wolkstein, Christopher Radcliff","Sebastien Aubert, Shani Geva, Michael Prall, Eric Schultz, Daniela Taplin Lundberg",Christopher Radcliff,"Jan 5, 2018  Limited","Jan 5, 2018",,1h 21m,Vertical Entertainment,,"Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Gene Jones,Owen Campbell,Tobias Campbell,Marin Ireland,Will Blomker,Lauren Wolkstein,Christopher Radcliff,"
Stratton,0,20,36,100+,R (Strong Violence|Language),"Action, Mystery & Thriller",English (United Kingdom),Simon West,"Guy Collins, Matthew Jenkins","Duncan Falconer, Warren Davis II","Jan 5, 2018  Limited","Feb 6, 2018",,1h 35m,Momentum Pictures,,"Dominic Cooper,Connie Nielsen,Gemma Chan,Tyler Hoechlin,Tom Felton,Thomas Kretschmann,Derek Jacobi,Austin Stowell,Yigal Naor,Jake Fairbrother,"
Sweet Country,96,71,93,500+,R (Violence|Language Throughout|Bloody Images),"Western, History, Drama",English (Australia),Warwick Thornton,"David Jowsey, Greer Simpkin",,"Apr 6, 2018  Limited","Jul 10, 2018",$85.6K,1h 53m,Samuel Goldwyn Films,,"Bryan Brown,Matt Day,Tremayne Doolan,Anni Finsterer,Natassia Gorey Furber,Gibson John,Ewen Leslie,Hamilton Morris,Sam Neill,Thomas Wright,"
The Commuter,55,40,215,"5,000+",PG-13 (Some Intense Action/Violence|Language),"Mystery & Thriller, Action",English,Jaume Collet-Serra,"Andrew Rona, Alex Heineman","Byron Willinger, Philip de Blasi, Ryan Engle","Jan 12, 2018  Wide","Mar 22, 2018",$36.3M,1h 44m,Lionsgate Films,,"Liam Neeson,Vera Farmiga,Patrick Wilson,Jonathan Banks,Sam Neill,Elizabeth McGovern,Florence Pugh,Shazad Latif,Letitia Wright,Killian Scott,"
Proud Mary,25,46,75,"1,000+",R (Violence),"Action, Mystery & Thriller",English,Babak Najafi,"Paul Schiff, Tai Duncan","John Stuart Newman, Christian Swegal, Steve Antin","Jan 12, 2018  Wide","Apr 10, 2018",$20.2M,1h 28m,Screen Gems,,"Taraji P. Henson,Billy Brown,Jahi Di'Allo Winston,Neal McDonough,Margaret Avery,Xander Berkeley,Rade Serbedzija,Erik LaRay Harvey,Danny Glover,Adobuere Ebiama,"
Acts of Violence,0,30,13,250+,R (Language Throughout|Drug Material|Sexuality/Nudity|Violence),"Action, Mystery & Thriller",English,Brett Donowho,"Randall Emmett, George Furla, Anthony Callie, Mark Stewart",Nicolas Aaron Mezzanatto,"Jan 12, 2018  Limited","Jan 12, 2018",,1h 26m,Lionsgate Premiere,,"Bruce Willis,Cole Hauser,Shawn Ashmore,Ashton Holmes,Melissa Bolona,Sean Brosnan,Sophia Bush,Mike Epps,Tiffany Brouwer,Jenna B. Kelly,"
Freak Show,53,68,43,100+,,"Lgbtq+, Drama, Comedy",English,Trudie Styler,"Jeffrey Coulter, Chris Miller, Celine Rattray, Bryan Rabin, Trudie Styler, Ember Truesdell, Charlotte Ubben","Patrick J. Clifton, Beth Rigazio","Jan 12, 2018  Limited","Jan 16, 2018",,1h 31m,IFC Films,,"Alex Lawther,Abigail Breslin,AnnaSophia Robb,Bette Midler,Laverne Cox,Willa Fitzgerald,Celia Weston,Mickey Sumner,Eddie Schweighardt,John McEnroe,"
Humor Me,70,56,20,100+,,Comedy,English,Sam Hoffman,"Sam Hoffman, Jamie Gordon, Courtney Potts",Sam Hoffman,"Jan 12, 2018  Limited","Apr 17, 2018",,1h 33m,Shout! Studios,,"Jemaine Clement,Elliott Gould,Ingrid Michaelson,Annie Potts,Bebe Neuwirth,Priscilla Lopez,Erich Bergen,Willie C. Carpenter,Joey Slotnick,Maria Dizzia,"
Vazante,85,66,34,100+,,"History, Drama",Portuguese (Brazil),Daniela Thomas,"Beto Amaral, Maria Ionescu, Sara Silveira","Daniela Thomas, Beto Amaral","Jan 12, 2018  Limited","Apr 9, 2018",$22.8K,1h 56m,Music Box Films,,"Adriano Carvalho,Sandra Corveloni,Luana Nastas,Juliana Carneiro da Cunha,Roberto Audio,Vinicius dos Anjos,Fabrício Boliveira,Maria Helena Dias,Adilson Magah,Vasco Pimentel,"
Mary and the Witch's Flower,,,,,,,,,,,,,,,,,
12 Strong,50,62,173,"5,000+",R (War Violence|Language Throughout),"Drama, War",English,Nicolai Fuglsig,"Jerry Bruckheimer, Molly Smith, Thad Luckinbill, Trent Luckinbill","Ted Tally, Peter Craig","Jan 19, 2018  Wide","May 1, 2018",$44.3M,2h 10m,Warner Bros. Pictures,,"Chris Hemsworth,Michael Shannon,Michael Peña,Navid Negahban,Trevante Rhodes,Geoff Stults,Thad Luckinbill,Austin Hébert,Austin Stowell,Ben O'Toole,"
Den of Thieves,42,62,137,"2,500+",R (Language|Some Sexuality/Nudity|Violence),"Mystery & Thriller, Crime, Drama, Action",English,Christian Gudegast,"Mark Canton, Tucker Tooley, Gerard Butler, Alan Siegel",Christian Gudegast,"Jan 19, 2018  Wide","Mar 25, 2018",$44.9M,2h 20m,STX Films,,"Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.,50 Cent,Meadow Williams,Maurice Compte,Brian Van Holt,Evan Jones,Mo McRae,Kaiwi Lyman,"
Forever My Girl,24,79,54,"1,000+",PG (Language|Drinking|Thematic Elements),"Romance, Music, Drama",English,Bethany Ashton Wolf,"Mickey Liddell, Pete Shilaimon, Jennifer Monroe",Bethany Ashton Wolf,"Jan 19, 2018  Wide","Apr 24, 2018",$16.4M,1h 48m,"LD Entertainment, Roadside Attractions",,"Alex Roe,Jessica Rothe,Abby Ryder Fortson,Peter Cambor,John Benjamin Hickey,Gillian Vigman,Travis Tritt,Judith Hoag,Tyler Riggs,Morgan Alexandria,"
Maze Runner: The Death Cure,43,58,171,"10,000+",PG-13 (Intense Sci-Fi Violence|Action|Language|Some Thematic Elements),"Sci-Fi, Action, Adventure, Mystery & Thriller",English,Wes Ball,"Ellen Goldsmith-Vein, Wyck Godfrey, Marty Bowen, Lee Stollman",T.S. Nowlin,"Jan 26, 2018  Wide","Apr 24, 2018",$57.4M,2h 22m,20th Century Fox,,"Dylan O'Brien,Thomas Brodie-Sangster,Kaya Scodelario,Giancarlo Esposito,Rosa Salazar,Aidan Gillen,Walton Goggins,Lee Ki-hong,Barry Pepper,Will Poulter,"
The Insult,86,88,116,"1,000+",R (Some Violent Images|Language),Drama,Arabic,Ziad Doueiri,"Rachid Bouchareb, Jean Bréhat, Julie Gayet, Antoun Sehnaoui, Nadia Turincev","Ziad Doueiri, Joelle Touma","Jan 12, 2018  Limited","Apr 24, 2018",$1.0M,1h 53m,Cohen Media Group,,"Adel Karam,Kamel El Basha,Camille Salameh,Diamand Bou Abboud,Rita Hayek,Talal Jurdi,Christine Choueiri,Julia Kassar,Rifaat Torbey,Carlos Chahine,"
Please Stand By,56,69,39,500+,PG-13 (Brief Strong Language),"Drama, Comedy",English,Ben Lewin,"Daniel Dubiecki, Lara Alameddine, Todd Wagner",Michael Golamco,"Jan 26, 2018  Limited","Jan 26, 2018",,1h 33m,Magnolia Pictures,,"Dakota Fanning,Toni Collette,Alice Eve,Patton Oswalt,Michael Stahl-David,River Alexander,Tony Revolori,Jessica Rothe,William Stanford Davis,Ben Lewin,"
Winchester,13,31,132,"2,500+",PG-13 (Drug Content|Disturbing Images|Some Sexual Material|Thematic Elements|Violence),"Horror, Mystery & Thriller",English,"Michael Spierig, Peter Spierig","Tim McGahan, Brett Tomberlin","Michael Spierig, Peter Spierig, Tom Vaughan","Feb 2, 2018  Wide","Apr 1, 2018",$25.1M,1h 39m,Lionsgate Films,,"Dame Helen Mirren,Jason Clarke,Sarah Snook,Angus Sampson,Laura Brent,Tyler Coppin,Eamon Farren,Thor Carlsson,Emm Wiseman,Finn Scicluna-O'Prey,"
A Fantastic Woman,94,78,227,"1,000+",R (Language|A Disturbing Assault|Nudity|Sexual Content),"Lgbtq+, Drama",Spanish,Sebastián Lelio,"Juan de Dios Larraín, Pablo Larraín, Sebastián Lelio, Gonzalo Maza","Sebastián Lelio, Gonzalo Maza","Feb 2, 2018  Limited","May 22, 2018",$2.0M,1h 43m,Sony Pictures Classics,,"Daniela Vega,Francisco Reyes,Luis Gnecco,Aline Küppenheim,Nicolás Saavedra,Amparo Noguera,Néstor Cantillana,Alejandro Goic,Antonia Zegers,Sergio Hernandez,"
Armed,,69,3,Fewer,R (Some Sexual References|Language Throughout|Graphic Nudity|Violence),"Action, Mystery & Thriller",English,Mario Van Peebles,"Justin Nesbitt, Mario Van Peebles, Maya Van Peebles",Mario Van Peebles,"Sep 14, 2018  Limited","Sep 14, 2018",,2h 0m,GVN Releasing,,"Mario Van Peebles,Ryan Guzman,Jemma Dallender,Columbus Short,Lane Garrison,William Fichtner,Dionne Warwick,Melvin Van Peebles,Mario Van Peebles,Mario Van Peebles,"
The Cloverfield Paradox,,,,,,,,,,,,,,,,,
Bad Apples,,,,,,,,,,,,,,,,,
Peter Rabbit,64,56,148,"2,500+",PG (Some Rude Humor and Action),"Comedy, Kids & Family, Adventure, Fantasy",English,Will Gluck,"Will Gluck, Zareh Nalbandian","Rob Lieber, Will Gluck","Feb 9, 2018  Wide","May 1, 2018",$115.2M,1h 35m,Sony Pictures Entertainment,,
Fifty Shades Freed,11,37,195,"5,000+",R (Nudity|Language|Strong Sexual Content),"Drama, Romance",English,James Foley,"Michael De Luca, E.L. James, Dana Brunetti, Marcus Viscidi",Niall Leonard,"Feb 9, 2018  Wide","May 8, 2018",$100.4M,1h 45m,Universal Pictures,,"Dakota Johnson,Jamie Dornan,Eric Johnson,Rita Ora,Luke Grimes,Victor Rasuk,Jennifer Ehle,Marcia Gay Harden,Eloise Mumford,Max Martini,"
The 15:17 to Paris,23,37,166,"2,500+",PG-13 (Drug References|Bloody Images|Language|Some Suggestive Material|Violence),"Mystery & Thriller, Drama",English,Clint Eastwood,"Clint Eastwood, Tim Moore, Kristina Rivera, Jessica Meier",Dorothy Blyskal,"Feb 9, 2018  Wide","May 22, 2018",$36.2M,1h 34m,Warner Bros. Pictures,,"Spencer Stone,Alek Skarlatos,Anthony Sadler,Judy Greer,Jenna Fischer,Thomas Lennon,Bryce Gheisar,Paul-Mikél Williams,William Jennings,Ray Corasani,"
Lionsgate,,,,,,,,,,,,,,,,,
Kri,,,,,,,,,,,,,,,,,
Permission,67,31,45,100+,,"Romance, Comedy",English,Brian Crano,"Rebecca Hall, Margot Hand, Giri Tharan, Joshua Thurston",Brian Crano,"Feb 9, 2018  Limited","Mar 27, 2018",,1h 36m,Good Deed Entertainment,,"Rebecca Hall,Dan Stevens,Gina Gershon,François Arnaud,Morgan Spector,David Joseph Craig,Jason Sudeikis,Bridget Everett,Sarah Steele,Raúl Castillo,"
Monster Family,,,,,,,,,,,,,,,,,
Golden Exits,67,38,52,100+,R (Some Language|Sexual References),Drama,English,Alex Ross Perry,,Alex Ross Perry,"Feb 9, 2018  Limited","Feb 16, 2018",$37.5K,1h 34m,"Stage 6, Vertical Entertainment",,"Emily Browning,Adam Horovitz,Mary-Louise Parker,Lily Rabe,Jason Schwartzman,Chloë Sevigny,Analeigh Tipton,Craig Butta,Keith Poulson,Jake Perlin,"
Black Panther,96,79,525,"50,000+",PG-13 (Sequences of Action Violence|A Brief Rude Gesture),"Action, Adventure, Fantasy",English,Ryan Coogler,Kevin Feige,"Ryan Coogler, Joe Robert Cole","Feb 16, 2018  Wide","May 2, 2018",$700.2M,2h 14m,Walt Disney,,"Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira,Martin Freeman,Daniel Kaluuya,Letitia Wright,Winston Duke,Angela Bassett,Forest Whitaker,"
Early Man,80,49,177,"1,000+",PG (Rude Humor and Some Action),"Kids & Family, Adventure, Animation, Comedy",English,Nick Park,"Carla Shelley, Richard Beek, Peter Lord, Nick Park, David Sproxton","Mark Burton, James Higginson","Feb 16, 2018  Wide","May 22, 2018",$8.2M,1h 29m,Lionsgate Films,,"Eddie Redmayne,Tom Hiddleston,Maisie Williams,Miriam Margolyes,Timothy Spall,Rob Brydon,Richard Ayoade,Johnny Vegas,Mark Williams,Selina Griffiths,"
Loveless,,,,,,,,,,,,,,,,,
The Party,82,61,161,"1,000+",R (Language and Drug Use),"Comedy, Drama",English (United Kingdom),Sally Potter,"Christopher Sheppard, Kurban Kassam",Sally Potter,"Feb 16, 2018  Limited","May 10, 2018",$748.9K,1h 11m,Roadside Attractions,,"Patricia Clarkson,Bruno Ganz,Cherry Jones,Emily Mortimer,Cillian Murphy,Kristin Scott Thomas,Timothy Spall,Sally Potter,Sally Potter,Christopher Sheppard,"
Nostalgia,,,,,,,,,,,,,,,,,
Black '47,78,77,55,500+,R (Violence|Some Disturbing Images|Language),"Mystery & Thriller, History, Drama",English,Lance Daly,"Macdara Kelleher, Tim O'Hair, Arcadiy Golubovich, Jonathan Loughran","P.J. Dillon, Pierce Ryan, Eugene O'Brien, Lance Daly","Sep 28, 2018  Limited","Feb 5, 2019",$49.3K,1h 40m,IFC Films,,"Hugo Weaving,James Frecheville,Stephen Rea,Freddie Fox,Barry Keoghan,Moe Dunford,Sarah Greene,Jim Broadbent,Lance Daly,P.J. Dillon,"
Samson,25,50,16,500+,PG-13 (Violence and Battle Sequences),"Action, Adventure",English,Bruce Macdonald,"David A.R. White, Michael M. Scott, Elizabeth Travis, Alysoun Wolfe, Vlokkie Gordon, Bruce Macdonald, Craig Jones, Brittany Yost","Jason Baumgardner, Galen Gilbert, Timothy Ratajczak, Zach Smith","Feb 16, 2018  Wide","Apr 30, 2018",$4.7M,1h 50m,Pure Flix Entertainment,,"Taylor James,Billy Zane,Lindsay Wagner,Caitlin Leahy,Rutger Hauer,Jackson Rathbone,Frances Sholto-Douglas,Greg Kriek,Bruce Macdonald,Jason Baumgardner,"
Game Night,85,77,257,"5,000+",R (Sexual References|Language|Some Violence),"Action, Comedy",English,"John Francis Daley, Jonathan M. Goldstein","John Davis, Jason Bateman, John Fox, James Garavente",Mark Perez,"Feb 23, 2018  Wide","May 22, 2018",$69.0M,1h 40m,Warner Bros. Pictures,,"Jason Bateman,Rachel McAdams,Kyle Chandler,Sharon Horgan,Billy Magnussen,Lamorne Morris,Kylie Bunbury,Jesse Plemons,Michael C. Hall,Danny Huston,"
Annihilation,88,66,326,"10,000+",R (Language|Bloody Images|Some Sexuality|Violence),"Mystery & Thriller, Adventure, Sci-Fi",English,Alex Garland,"Scott Rudin, Andrew Macdonald, Allon Reich, Eli Bush",Alex Garland,"Feb 23, 2018  Wide","Apr 22, 2018",$32.7M,1h 55m,Paramount Pictures,,"Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Tessa Thompson,Tuva Novotny,Oscar Isaac,Benedict Wong,David Gyasi,Sonoya Mizuno,John Schwab,"
Every Day,63,54,64,"1,000+",PG-13 (Suggestive Material|Language|Teen Drinking|Thematic Content),"Fantasy, Drama, Romance",English,Michael Sucsy,"Christian Grass, Paul Trijbits, Anthony Bregman, Peter Cron",Jesse Andrews,"Feb 23, 2018  Wide","May 2, 2018",$6.1M,1h 35m,Orion Pictures,,"Angourie Rice,Justice Jesse Smith,Jeni Ross,Lucas Jade Zumann,Rory McDonald,Katie Douglas,Jacob Batalon,Ian Alexander,Colin Ford,Jake Sim,"
The Cured,70,47,67,500+,R (Violence|Language|Bloody Images),"Mystery & Thriller, Drama, Horror",English,David Freyne,"Rory Dungan, Rachael O'Kane, Elliot Page",,"Feb 23, 2018  Limited","Jul 5, 2018",$5.3K,1h 35m,IFC Films,,"Elliot Page,Sam Keeley,Tom Vaughan-Lawlor,Stuart Graham,Peter Campion,Natalia Kostrzewa,Frank Cannon,Lesley Conroy,David Freyne,Conor Barry,"
The Lodgers,56,39,45,250+,R (Some Violence|Sexuality and Nudity),"Mystery & Thriller, Horror",English,Brian O'Malley,"Ruth Treacy, Julianne Forde",David Turpin,"Feb 23, 2018  Limited","May 22, 2018",,1h 33m,Epic Pictures,,"Charlotte Vega,Bill Milner,Eugene Simon,David Bradley,Deirdre O'Kane,Moe Dunford,Roisin Murphy,Brendan O'Rourke,Emmet Kelly,Anthony Murphy,"
Red Sparrow,45,49,301,"2,500+",R (Sexual Content|Language|Some Graphic Nudity|Strong Violence|Torture),Mystery & Thriller,English,Francis Lawrence,"Peter Chernin, David Ready, Jenno Topping, Steven Zaillian",Justin Haythe,"Mar 2, 2018  Wide","May 22, 2018",$46.7M,2h 19m,20th Century Fox,,"Jennifer Lawrence,Joel Edgerton,Charlotte Rampling,Matthias Schoenaerts,Mary-Louise Parker,Ciarán Hinds,Jeremy Irons,Joely Richardson,Douglas Hodge,Thekla Reuten,"
Death Wish,18,71,163,"5,000+",R (Strong Bloody Violence|Language Throughout),"Action, Mystery & Thriller",English,Eli Roth,Roger Birnbaum,Joe Carnahan,"Mar 2, 2018  Wide","May 22, 2018",$34.0M,1h 47m,"Annapurna Pictures, Metro-Goldwyn-Mayer",,"Bruce Willis,Vincent D'Onofrio,Elisabeth Shue,Camila Morrone,Dean Norris,Beau Knapp,Kimberly Elise,Len Cariou,Jack Kesy,Ronnie Gene Blevins,"
The Vanishing of Sidney Hall,,,,,,,,,,,,,,,,,
Foxtrot,94,76,141,500+,R (Graphic Images|Brief Drug Use|Some Sexual Content),Drama,Hebrew,Samuel Maoz,"Michael Weber, Viola Fügen, Eitan Mansuri, Cédomir Kolar, Marc Baschet, Michel Merkt",Samuel Maoz,"Mar 2, 2018  Limited","Jul 5, 2018",$618.0K,1h 52m,Sony Pictures Classics,,"Lior Ashkenazi,Sarah Adler,Gefen Barkai,Dekel Adin,Shaul Amir,Itay Exlroad,Danny Isserles,Itamar Rotschild,Roi Miller,Yehuda Almagor,"
Pickings,80,56,5,Fewer,R (Language Throughout|Violence|Some Drug Use),"Mystery & Thriller, Crime, Drama",English,Usher Morgan,"Usher Morgan, Louis Obioha",Usher Morgan,"Mar 2, 2018  Limited","Aug 3, 2018",,1h 43m,Dark Passage Films,,"Lynne Jordan,Michelle Holland,Taso Mikroulis,Reese Grande,Elyse Price,Yaron Urbas,Katie Vincent,Megan Corry,Michael Gentile,Nathan Shapiro,"
A Wrinkle in Time,42,26,342,"5,000+",PG (Thematic Elements|Some Peril),"Sci-Fi, Kids & Family, Adventure, Fantasy",English,Ava DuVernay,"James Whitaker, Catherine Hand",Jennifer Lee,"Mar 9, 2018  Wide","Sep 24, 2018",$100.5M,1h 49m,Walt Disney,,"Storm Reid,Oprah Winfrey,Reese Witherspoon,Mindy Kaling,Gugu Mbatha-Raw,Michael Peña,Zach Galifianakis,Chris Pine,Levi Miller,Deric McCabe,"
Gringo,40,38,134,"1,000+",R (Sexual Content|Language Throughout|Violence),"Action, Comedy",English,Nash Edgerton,"Rebecca Yeldham, Nash Edgerton, Charlize Theron, Beth Kono, A.J. Dix, Anthony Tambakis","Anthony Tambakis, Matthew Stone","Mar 9, 2018  Wide","May 24, 2018",$4.9M,1h 50m,"STX Films, Amazon Studios",,"David Oyelowo,Charlize Theron,Joel Edgerton,Amanda Seyfried,Thandie Newton,Sharlto Copley,Yul Vazquez,Harry Treadaway,Nash Edgerton,Anthony Tambakis,"
Thoroughbreds,87,68,165,"2,500+",R (Disturbing Behavior|Bloody Images|Language|Sexual References|Some Drug Content),"Mystery & Thriller, Comedy",English,Cory Finley,"Andrew Duncan, Nat Faxon, Jim Rash, Alex Saks, Kevin J. Walsh",Cory Finley,"Mar 9, 2018  Wide","May 22, 2018",$2.7M,1h 30m,Focus Features,,"Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Paul Sparks,Francie Swift,Kaili Vernoff,Chaunty Spillane,Stephanie Atkinson,Max Ripley,Cory Finley,"
The Death of Stalin,95,78,249,"5,000+",R (Some Sexual References|Language Throughout|Violence),Comedy,English,Armando Iannucci,"Nicolas Duval-Adassovsky, Kevin Loader, Laurent Zeitoun, Yann Zenou","Armando Iannucci, David Schneider, Ian Martin","Mar 9, 2018  Limited","Jun 11, 2018",$8.0M,1h 47m,IFC Films,,"Steve Buscemi,Andrea Riseborough,Simon Russell Beale,Rupert Friend,Jason Isaacs,Jeffrey Tambor,Paddy Considine,Olga Kurylenko,Michael Palin,Richard Brake,"
The Leisure Seeker,38,56,109,500+,R (Some Sexual Material),"Adventure, Drama, Comedy",English,Paolo Virzì,"Marco Cohen, Fabrizio Donvito, Benedetto Habib","Paolo Virzì, Francesco Piccolo, Francesca Archibugi, Stephen Amidon","Mar 9, 2018  Limited","Jul 10, 2018",$3.2M,1h 52m,Sony Pictures Classics,,"Dame Helen Mirren,Donald Sutherland,Christian McKay,Kirsty Mitchell,Joshua Mikel,Rob Pralgo,Janel Moloney,Dick Gregory,Paolo Virzì,Paolo Virzì,"
The Strangers: Prey at Night,40,35,126,"1,000+",R (Language|Horror Violence|Terror Throughout),"Mystery & Thriller, Horror",English,Johannes Roberts,"James Harris, Wayne Marc Godfrey, Mark Lane, Robert Jones, Ryan Kavanaugh","Bryan Bertino, Ben Ketai","Mar 9, 2018  Wide","Jun 12, 2018",$24.4M,1h 25m,Aviron Pictures,,"Christina Hendricks,Martin Henderson,Bailee Madison,Lewis Pullman,Emma Bellomy,Damian Maffei,Lea Enslin,Leah Roberts,Johannes Roberts,Bryan Bertino,"
The Hurricane Heist,47,23,59,500+,PG-13 (Destruction|Action|Language|Sequences of Gun Violence|Some Suggestive Material),"Action, Mystery & Thriller",English,Rob Cohen,"Karen Elise Baldwin, William J. Immerman, Michael Tadross Jr., Danny Roth, Damiano Tucci, Rob Cohen, Mark Damon, Christopher Milburn, Moshe Diamant","Jeff Dixon, Scott Windhauser","Mar 9, 2018  Wide","May 29, 2018",$6.1M,1h 43m,Entertainment Studios Motion Pictures,,"Toby Kebbell,Maggie Grace,Ryan Kwanten,Ralph Ineson,Melissa Bolona,Christian Contreras,Jamie Andrew Cutler,Ben Cross,Ed Birch,Natacha Karam,"
Tomb Raider,52,55,321,"10,000+",PG-13 (Sequences of Violence|Action|Some Language),"Action, Adventure",English,Roar Uthaug,Graham King,"Geneva Robertson-Dworet, Alastair Siddons","Mar 16, 2018  Wide","Jun 12, 2018",$57.3M,1h 58m,Warner Bros. Pictures,,"Alicia Vikander,Dominic West,Walton Goggins,Daniel Wu,Kristin Scott Thomas,Derek Jacobi,Alexandre Willaume,Tamer Burjaq,Adrian Collins,Keenan Arrison,"
"Love, Simon",92,88,239,"5,000+",PG-13 (Sexual References|Language|Teen Partying|Thematic Elements),"Lgbtq+, Drama, Romance, Comedy",English,Greg Berlanti,"Wyck Godfrey, Marty Bowen, Pouya Shahbazian, Isaac Klausner","Elizabeth Berger, Isaac Aptaker","Mar 16, 2018  Wide","Apr 25, 2018",$40.8M,1h 50m,20th Century Fox,,"Nick Robinson,Josh Duhamel,Jennifer Garner,Tony Hale,Katherine Langford,Alexandra Shipp,Logan Miller,Jorge Lendeborg,Keiynan Lonsdale,Joey Pollari,"
I Can Only Imagine,67,92,33,"2,500+",PG (Thematic Elements|Some Violence),"Biography, Drama, Music",English,The Erwin Brothers,"Kevin Downes, Cindy Bond, Daryl Lefever, Mickey Liddell, Pete Shilaimon","Jon Erwin, Brent McCorkle","Mar 16, 2018  Wide","Jun 12, 2018",$83.5M,1h 50m,"Lionsgate Films, Roadside Attractions",,"J. Michael Finley,Madeline Carroll,Dennis Quaid,Trace Adkins,Cloris Leachman,Jason Burkey,Mark Furze,Randy McDowell,Cole Marcus,Alexander Dominguez,"
7 Days in Entebbe,24,37,119,500+,PG-13 (Drug Use|Brief Strong Language|Smoking|Some Thematic Material|Violence),"Mystery & Thriller, History, Drama",English,José Padilha,"Tim Bevan, Eric Fellner, Kate Solomon, Michelle Wright, Ron Halpern",Gregory Burke,"Mar 16, 2018  Wide","Jul 3, 2018",$2.9M,1h 47m,Focus Features,,"Daniel Brühl,Rosamund Pike,Eddie Marsan,Lior Ashkenazi,Denis Ménochet,Ben Schnetzer,Nonso Anozie,Angel Bonanni,Mark Ivanir,Andrea Deck,"
Furlough,20,33,5,50+,R (A Brief Sexual Reference),Comedy,English,Laurie Collyer,"Jen Gatien, Melissa Leo",Barry Strugatz,"Mar 16, 2018  Limited","Mar 17, 2018",,1h 23m,IFC Films,,"Tessa Thompson,Whoopi Goldberg,Melissa Leo,La La Anthony,Drena De Niro,Azhy Robertson,Stephanie Little,Jermaine Wells,Anna Paquin,Laurie Collyer,"
Josie,,,,,,,,,,,,,,,,,
Flower,49,44,73,250+,R (Graphic Nude Drawings|Crude Sexual Content|A Brief Violent Image|Language Throughout|Some Drug Content),"Drama, Comedy",English,Max Winkler,"Eric B. Fleischman, Sean Tabibian, Brandon James, Matt Spicer","Alex McAulay, Matt Spicer, Max Winkler","Mar 16, 2018  Limited","Jun 5, 2018",$327.4K,1h 30m,The Orchard,,"Zoey Deutch,Kathryn Hahn,Tim Heidecker,Adam Scott,Joey Morgan,Dylan Gelula,Maya Eshet,Eric Edelstein,Romy Byrne,Max Winkler,"
Pacific Rim: Uprising,,,,,,,,,,,,,,,,,
