filem_name,tomatometerscore,audiencescore,reviews_numb,ratings_numb,rating,genre,language,director,producer,writer,release_date_theaters,release_date_streaming,box_office,runtime,distributor,aspect_ratio,actors
The Burnt Orange Heresy,66,81,119,Fewer,R (Language|Drug Use|Some Sexual Content/Nudity|Violence),Mystery & Thriller,English,Giuseppe Capotondi,David Zander,Scott B. Smith,"Mar 6, 2020  Limited","Aug 6, 2020",$143.8K,1h 39m,Sony Pictures Classics,,"Claes Bang,Elizabeth Debicki,Mick Jagger,Donald Sutherland,Rosalind Halstead,Alessandro Fabrizi,Flaminia Fegarotti,Alexia Murray,Giuseppe Capotondi,Scott B. Smith,"
Swallow,,,,,,,,,,,,,,,,,
First Cow,96,63,209,500+,PG-13 (Brief Strong Language),"Western, Drama",English,Kelly Reichardt,"Neil Kopp, Vincent Savino, Anish Savjani","Jonathan Raymond, Kelly Reichardt","Mar 6, 2020  Limited","Jul 10, 2020",$161.0K,2h 2m,A24,,"John Magaro,Orion Lee,Alia Shawkat,Toby Jones,Lily Gladstone,Scott Shepherd,Ewen Bremner,Rene Auberjonois,Gary Farmer,Ted Rooney,"
Bloodshot,30,78,162,"1,000+",PG-13 (Language|Intense Sequences of Violence|Some Suggestive Material),"Action, Adventure, Fantasy",English,Dave Wilson,"Toby Jaffe, Jason Kothari","Yvel Guichet, Eric Heisserer","Mar 13, 2020  Wide","Mar 24, 2020",$10.1M,1h 49m,"Columbia Pictures, Sony Pictures Entertainment",,"Vin Diesel,Guy Pearce,Eiza González,Sam Heughan,Toby Kebbell,Talulah Riley,Lamorne Morris,Jóhannes Haukur Jóhannesson,Alex Hernandez,Dave Wilson,"
The Hunt,57,66,268,500+,R (Strong Bloody Violence|Language Throughout),"Mystery & Thriller, Comedy, Action",English,Craig Zobel,"Jason Blum, Damon Lindelof","Nick Cuse, Damon Lindelof",,"Mar 20, 2020",$5.3M,1h 30m,,,"Ike Barinholtz,Betty Gilpin,Emma Roberts,Hilary Swank,Glenn Howerton,Amy Madigan,Reed Birney,Macon Blair,Ethan Suplee,Craig Zobel,"
I Still Believe,51,98,47,"1,000+",PG (Thematic Material),"Romance, Biography, Drama, Music",English,"Jon Erwin, Andrew Erwin",Kevin Downes,"Jon Erwin, Jon Gunn","Mar 13, 2020  Wide","Mar 26, 2020",$9.1M,1h 55m,Lionsgate Films,,"K.J. Apa,Britt Robertson,Shania Twain,Gary Sinise,Melissa Roxburgh,Tanya Christiansen,Rebecca Chulew,Nathan Parsons,Abigail Cowen,Cameron Arnett,"
Lost Girls,,,,,,,,,,,,,,,,,
Stargirl,,,,,,,,,,,,,,,,,
The Roads Not Taken,43,20,47,Fewer,R (Language),Drama,English,Sally Potter,Christopher Sheppard,Sally Potter,"Mar 13, 2020  Limited","May 22, 2020",$3.3K,1h 25m,Bleecker Street Media,,"Javier Bardem,Elle Fanning,Salma Hayek,Branka Katic,Laura Linney,Milena Tscharntke,Aaron Joshua,Griffin Stevens,Sally Potter,Sally Potter,"
Never Rarely Sometimes Always,99,52,235,500+,PG-13 (Language|Disturbing Thematic Content|Mature Thematic Content|Some Sexual References|Teen Drinking),Drama,English,Eliza Hittman,"Lia Buman, Rose Garnett, Tim Headington, Sara Murphy, Alex Orlovsky, Elika Portnoy, Adele Romanski",Eliza Hittman,"Mar 13, 2020  Limited","Apr 3, 2020",$16.3K,1h 41m,Focus Features,,"Ryan Eggold,Théodore Pellerin,Sharon Van Etten,Sidney Flanigan,Talia Ryder,Drew Seltzer,Lester Greene,Kim Rios Lin,Eliza Hittman,Eliza Hittman,"
Big Time Adolescence,85,83,82,500+,R (Pervasive Language|Drug Content|Alcohol Use|Sexual References),Comedy,English,Jason Orley,"Jeremy Garelick, Mickey Liddell, Mason Novick, Will Phelps, Pete Shilaimon, Glen Trotiner",Jason Orley,"Mar 13, 2020  Limited","Mar 13, 2020",,1h 30m,Neon,,
Lost Transmissions,,,,,,,,,,,,,,,,,
Resistance,57,60,95,100+,R (Some Violence),"History, Biography, Drama",English,Jonathan Jakubowicz,"Marco Beckmann, Claudine Jakubowicz, Dan Maag",Jonathan Jakubowicz,,"Mar 25, 2020",$6.5K,2h 0m,,,"Jesse Eisenberg,Ed Harris,Edgar Ramírez,Clémence Poésy,Matthias Schweighöfer,Félix Moati,Géza Röhrig,Karl Markovics,Bella Ramsey,Alicia von Rittberg,"
Uncorked,91,64,46,250+,,Drama,English,Prentice Penny,"Jill Ahrens, Ryan Ahrens, Ben Renzo",Prentice Penny,,"Mar 28, 2020",,1h 44m,,,"Mamoudou Athie,Courtney B. Vance,Niecy Nash,Sasha Compère,Meera Rohit Kumbhani,Kelly Jenrette,Djinda Kane,Prentice Penny,Prentice Penny,Jill Ahrens,"
Vivarium,72,39,150,"1,000+",,"Mystery & Thriller, Sci-Fi",English,Lorcan Finnegan,"Brendan McCarthy, John McDonnell",Garret Shanley,,"Mar 25, 2020",,1h 37m,,,"Imogen Poots,Jesse Eisenberg,Eanna Hardwicke,Jonathan Aris,Danielle Ryan,Olga Wehrly,Senan Jennings,Molly McCann,Shana Hart,Marck Quigley,"
Coffee & Kareem,21,30,71,250+,,"Action, Comedy",English,Michael Dowse,"Don Foss, Ed Helms",Shane Mack,,"Apr 4, 2020",,1h 28m,,,"Ed Helms,Terrence Little Gardenhigh,Taraji P. Henson,Betty Gilpin,King Bach,Samantha Cole,Garfield Wilson,David Alan Grier,Chance Hurstfield,Fraser Aitcheson,"
Trolls World Tour,71,58,160,"1,000+",PG (Some Mild Rude Humor),"Animation, Fantasy, Kids & Family, Adventure, Musical, Comedy",English,Walt Dohrn,Gina Shay,"Jonathan Aibel, Glenn Berger, Maya Forbes, Wallace Wolodarsky, Elizabeth Tippet","Apr 10, 2020  Limited","Apr 2, 2020",,1h 31m,Universal Pictures,,"Anna Kendrick,Justin Timberlake,Rachel Bloom,James Corden,Ron Funches,Kelly Clarkson,Anderson .Paak,Sam Rockwell,George Clinton,Mary J. Blige,"
Love Wedding Repeat,,,,,,,,,,,,,,,,,
The Main Event,,,,,,,,,,,,,,,,,
We Summon the Darkness,69,34,71,250+,R (Sexual References|Pervasive Language|Bloody Violence|Some Drug Use),"Mystery & Thriller, Horror",English,Marc Meyers,"Christian Armogida, James Harris, Robert Jones",Alan Trezza,,"Apr 10, 2020",$60.8K,1h 23m,,,"Alexandra Daddario,Keean Johnson,Johnny Knoxville,Logan Miller,Maddie Hasson,Allison McAtee,Austin Swift,Tanner Beard,Stephanie Moroz,Amy Forsyth,"
The Lost Husband,55,63,22,250+,PG-13 (Some Suggestive References),Drama,English,Vicky Wight,"Leslie Bibb, Bridget Stokes, Vicky Wight",Vicky Wight,,"Apr 10, 2020",,1h 49m,,,"Josh Duhamel,Leslie Bibb,Nora Dunn,Isiah Whitlock Jr.,Herizen F. Guardiola,Carly Pope,Callie Hope Haverda,Georgia King,Vicky Wight,Vicky Wight,"
Corona Zombies,,,,,,,,,,,,,,,,,
Sergio,,,,,,,,,,,,,,,,,
